,name,team,opponent,points,salary,week
687,"Sherfield, Trent",ari,cin,2.8,4500,5
688,"Tate, Golden",nyg, min,2.8,4500,5
689,"Brown, Jaron",sea, lar,2.6,4600,5
690,"Agholor, Nelson",phi, nyj,2.5,5500,5
691,"Pascal, Zach",ind,kan,2.5,5500,5
692,"Richardson, Paul",was, nwe,2.4,4700,5
693,"Valdes-Scantling, Marquez",gnb,dal,2.3,6300,5
694,"Hill, Taysom",nor, tam,2.12,6000,5
695,"Anderson, Robby",nyj,phi,2.1,5500,5
696,"Doss, Keelan",oak, chi,2.1,4500,5
697,"Crowder, Jamison",nyj,phi,2,5800,5
698,"Miller, Scott",tam,nor,1.8,4500,5
699,"Benjamin, Travis",lac, den,1.8,4500,5
700,"Sharpe, Tajae",ten, buf,1.7,4800,5
701,"Renfrow, Hunter",oak, chi,1.7,4800,5
702,"Gage, Russell",atl,hou,1.7,4500,5
703,"Reynolds, Josh",lar,sea,1.7,4500,5
704,"Wilson, Bobo",tam,nor,1.6,4500,5
705,"Pettis, Dante",sfo, cle,1.6,4600,5
706,"Sanders, Emmanuel",den,lac,1.4,5600,5
707,"Kumerow, Jake",gnb,dal,1.4,4500,5
708,"Erickson, Alex",cin, ari,1.2,4500,5
709,"Cain, Deon",ind,kan,1.2,4500,5
710,"Wright, Jarius",car, jac,1.1,4500,5
711,"Morgan, Stanley",cin, ari,1.1,4500,5
712,"Isabella, Andy",ari,cin,1.1,4500,5
713,"Meyers, Jakobi",nwe,was,1.1,4500,5
714,"Lee, Marqise",jac,car,1,4500,5
715,"Quinn, Trey",was, nwe,1,5100,5
716,"Hardy, Justin",atl,hou,1,4500,5
717,"Spencer, Diontae",den,lac,0.9,4500,5
718,"Harmon, Kelvin",was, nwe,0.9,4500,5
719,"Samuel, Deebo",sfo, cle,0.8,5400,5
720,"Roberts, Andre",buf,ten,0.7,4500,5
721,"Patterson, Cordarrelle",chi,oak,0.5,4500,5
722,"Holton, Johnny",pit, bal,0.4,4500,5
723,"Boykin, Miles",bal,pit,0,4800,5
724,"Hollins, Mack",phi, nyj,0,4800,5
725,"Watkins, Sammy",kan, ind,0,6600,5
726,"Roberts, Seth",bal,pit,0,4500,5
727,"Hamilton, DaeSean",den,lac,0,4900,5
728,"Jones, Zay",buf,ten,0,4500,5
729,"Dorsett, Phillip",nwe,was,0,5400,5
730,"Zylstra, Brandon",car, jac,0,4500,5
731,"Evans, Mike",tam,nor,0,7700,5
732,"Carr, Austin",nor, tam,0,4500,5
733,"Moore, Chris",bal,pit,0,4500,5
734,"Olszewski, Gunner",nwe,was,0,4500,5
735,"Callaway, Antonio",cle,sfo,0,5100,5
736,"Turner, Malik",sea, lar,0,4500,5
737,"Berrios, Braxton",nyj,phi,0,4700,5
738,"Jennings, Darius",ten, buf,0,4500,5
739,"Davis, Geremy",lac, den,0,4500,5
740,"Thomas, De'Anthony",kan, ind,0,4500,5
741,"Ateman, Marcell",oak, chi,0,4500,5
742,"Rogers, Chester",ind,kan,0,5100,5
743,"Thomas, Mike",lar,sea,0,4500,5
744,"Natson, JoJo",lar,sea,0,4500,5
745,"Lazard, Allen",gnb,dal,0,4500,5
746,"Latimer, Cody",nyg, min,0,4700,5
747,"Brown, Fred",den,lac,0,4500,5
748,"Wims, Javon",chi,oak,0,4500,5
749,"Hodge, KhaDarel",cle,sfo,0,4500,5
750,"Watson, Justin",tam,nor,0,4500,5
751,"Smith, Tre'Quan",nor, tam,0,5200,5
752,"Patton, Andre",lac, den,0,4500,5
