,name,team,opponent,points,salary,week
361,"Gore, Frank",buf, nwe,10.9,5700,4
362,"Pope, Troymaine",lac,mia,10.4,4500,4
363,"Kamara, Alvin",nor, dal,10.4,8000,4
364,"Smith, Ito",atl, ten,10.1,4800,4
365,"White, James",nwe,buf,9.8,6200,4
366,"Drake, Kenyan",mia, lac,8.8,5300,4
367,"Cohen, Tarik",chi, min,8.8,5800,4
368,"Johnson, Duke",hou, car,8.8,5300,4
369,"Yeldon, T.J.",buf, nwe,8.8,4600,4
370,"Hyde, Carlos",hou, car,8.4,5900,4
371,"Mixon, Joe",cin,pit,8.3,6800,4
372,"Montgomery, David",chi, min,8.2,6000,4
373,"Thompson, Chris",was,nyg,8,5300,4
374,"Barber, Peyton",tam,lar,7.9,5700,4
375,"Ingram, Mark",bal, cle,7.6,7800,4
376,"Hines, Nyheim",ind, oak,7.5,4800,4
377,"Sanders, Miles",phi,gnb,7.2,5700,4
378,"Freeman, Royce",den, jac,7,5500,4
379,"Lindsay, Phillip",den, jac,6.5,6900,4
380,"Bolden, Brandon",nwe,buf,6.4,4500,4
381,"Prosise, C.J.",sea,ari,6.4,4800,4
382,"Michel, Sony",nwe,buf,6.3,6100,4
383,"McKissic, J.D.",det, kan,4.6,4600,4
384,"Walton, Mark",mia, lac,4.4,4500,4
385,"Edwards, Gus",bal, cle,4.1,5300,4
386,"Lewis, Dion",ten,atl,4,4900,4
387,"Bernard, Giovani",cin,pit,3.9,4800,4
388,"Mack, Marlon",ind, oak,3.9,7300,4
389,"Edmonds, Chase",ari, sea,3.7,4700,4
390,"Washington, DeAndre",oak,ind,3.6,4500,4
391,"Wilkins, Jordan",ind, oak,3.3,4900,4
392,"Ogunbowale, Dare",tam,lar,3.1,4500,4
393,"Peterson, Adrian",was,nyg,2.8,5500,4
394,"Vitale, Dan",gnb, phi,2.8,4500,4
395,"Hill, Justice",bal, cle,2.7,4500,4
396,"Watt, Derek",lac,mia,2.6,4500,4
397,"Ham, C.J.",min,chi,2.5,4500,4
398,"Murray, Latavius",nor, dal,2.5,5200,4
399,"Abdullah, Ameer",min,chi,2.4,4500,4
400,"Richard, Jalen",oak,ind,2.3,5000,4
401,"Smallwood, Wendell",was,nyg,1.9,4500,4
402,"Johnson, Ty",det, kan,1.9,4500,4
403,"Mattison, Alexander",min,chi,1.8,4900,4
404,"Brown, Malcolm",lar, tam,1.4,5500,4
405,"Hilliman, Jon",nyg, was,1.3,4500,4
406,"Burkhead, Rex",nwe,buf,1.2,5600,4
407,"Penny, Elijhaa",nyg, was,1.2,5000,4
408,"Bawden, Nick",det, kan,0.9,4500,4
409,"Line, Zach",nor, dal,0.8,4500,4
410,"Ballage, Kalen",mia, lac,0.7,4900,4
411,"Williams, Jamaal",gnb, phi,0.5,5400,4
412,"Sproles, Darren",phi,gnb,0.4,4600,4
413,"Snell, Benny",pit, cin,0.1,4500,4
414,"Ingold, Alec",oak,ind,0.1,4500,4
415,"Thompson, Darwin",kan,det,0,4500,4
416,"Boone, Mike",min,chi,0,4500,4
417,"Washington, Dwayne",nor, dal,0,4500,4
